hhno,pno,tour,half,tseg,autotime,transittime,biketime,walktime,travcost,travdist
10,1,1,1,1,0,0,30,0,1.2,6
10,1,1,2,1,0,0,30,0,1.2,6
10,1,1,2,2,3.3,0,0,0,0.1,0.5
10,1,2,1,1,33,0,0,0,2.8,14
10,1,2,2,1,33,0,0,0,2.8,14
10,1,2,2,2,3.3,0,0,0,0.1,0.5
10,1,3,1,1,6.6,0,0,0,0.4,2
10,1,3,2,1,6.6,0,0,0,0.4,2
20,1,1,1,1,37.4,0,0,0,3.2,16
20,1,1,1,2,3.3,0,0,0,0.1,0.5
20,1,1,2,1,37.4,0,0,0,3.2,16
20,1,1,2,2,3.3,0,0,0,0.1,0.5
20,2,1,1,1,3.3,0,0,0,0.1,0.5
20,2,1,2,1,3.3,0,0,0,0.1,0.5
40,1,1,1,1,19.8,0,0,0,1.6,8
40,1,1,1,2,3.3,0,0,0,0.1,0.5
40,1,1,2,1,19.8,0,0,0,1.6,8
40,1,1,2,2,3.3,0,0,0,0.1,0.5
40,1,1,2,3,3.3,0,0,0,0.1,0.5
40,2,1,1,1,28.6,0,0,0,2.4,12
40,2,1,1,2,3.3,0,0,0,0.1,0.5
40,2,1,2,1,28.6,0,0,0,2.4,12
40,2,2,1,1,0,16,0,10,2.4,12
40,2,2,2,1,0,16,0,10,2.4,12
40,3,1,1,1,3.3,0,0,0,0.1,0.5
40,3,1,1,2,3.3,0,0,0,0.1,0.5
40,3,1,2,1,3.3,0,0,0,0.1,0.5
40,3,1,2,2,3.3,0,0,0,0.1,0.5
40,4,1,1,1,11,0,0,0,0.8,4
40,4,1,2,1,11,0,0,0,0.8,4
40,5,1,1,1,28.6,0,0,0,2.4,12
40,5,1,2,1,28.6,0,0,0,2.4,12
40,5,1,2,2,3.3,0,0,0,0.1,0.5
40,5,1,2,3,3.3,0,0,0,0.1,0.5
40,5,2,1,1,3.3,0,0,0,0.1,0.5
40,5,2,2,1,3.3,0,0,0,0.1,0.5
40,5,3,1,1,11,0,0,0,0.8,4
40,5,3,2,1,11,0,0,0,0.8,4
40,6,1,1,1,11,0,0,0,0.8,4
40,6,1,1,2,3.3,0,0,0,0.1,0.5
40,6,1,2,1,11,0,0,0,0.8,4
40,6,1,2,2,3.3,0,0,0,0.1,0.5
40,6,2,1,1,3.3,0,0,0,0.1,0.5
40,6,2,1,2,3.3,0,0,0,0.1,0.5
40,6,2,2,1,3.3,0,0,0,0.1,0.5
50,1,1,1,1,6.6,0,0,0,0.4,2
50,1,1,2,1,6.6,0,0,0,0.4,2
50,1,1,2,2,3.3,0,0,0,0.1,0.5
50,2,1,1,1,6.6,0,0,0,0.4,2
50,2,1,2,1,6.6,0,0,0,0.4,2
50,2,1,2,2,3.3,0,0,0,0.1,0.5
50,2,2,1,1,6.6,0,0,0,0.4,2
50,2,2,1,2,3.3,0,0,0,0.1,0.5
50,2,2,1,3,3.3,0,0,0,0.1,0.5
50,2,2,1,4,3.3,0,0,0,0.1,0.5
50,2,2,2,1,6.6,0,0,0,0.4,2
50,3,1,1,1,6.6,0,0,0,0.4,2
50,3,1,2,1,6.6,0,0,0,0.4,2
50,3,2,1,1,15.4,0,0,0,1.2,6
50,3,2,2,1,15.4,0,0,0,1.2,6
60,1,1,1,1,19.8,0,0,0,1.6,8
60,1,1,2,1,19.8,0,0,0,1.6,8
60,1,1,2,2,3.3,0,0,0,0.1,0.5
60,1,1,2,3,3.3,0,0,0,0.1,0.5
60,1,1,2,4,3.3,0,0,0,0.1,0.5
60,1,2,1,1,19.8,0,0,0,1.6,8
60,1,2,2,1,19.8,0,0,0,1.6,8
60,2,1,1,1,11,0,0,0,0.8,4
60,2,1,2,1,11,0,0,0,0.8,4
70,1,1,1,1,24.2,0,0,0,2,10
70,1,1,2,1,24.2,0,0,0,2,10
70,2,1,1,1,6.6,0,0,0,0.4,2
70,2,1,2,1,6.6,0,0,0,0.4,2
70,3,1,1,1,24.2,0,0,0,2,10
70,3,1,1,2,3.3,0,0,0,0.1,0.5
70,3,1,2,1,24.2,0,0,0,2,10
80,1,1,1,1,28.6,0,0,0,2.4,12
80,1,1,2,1,28.6,0,0,0,2.4,12
80,1,2,1,1,3.3,0,0,0,0.1,0.5
80,1,2,2,1,3.3,0,0,0,0.1,0.5
80,1,2,2,2,3.3,0,0,0,0.1,0.5
80,1,3,1,1,19.8,0,0,0,1.6,8
80,1,3,2,1,19.8,0,0,0,1.6,8
80,2,1,1,1,11,0,0,0,0.8,4
80,2,1,1,2,3.3,0,0,0,0.1,0.5
80,2,1,2,1,11,0,0,0,0.8,4
80,2,2,1,1,11,0,0,0,0.8,4
80,2,2,2,1,11,0,0,0,0.8,4
80,3,1,1,1,28.6,0,0,0,2.4,12
80,3,1,2,1,28.6,0,0,0,2.4,12
80,4,1,1,1,26.4,0,0,0,0,4
80,4,1,2,1,26.4,0,0,0,0,4
90,1,1,1,1,15.4,0,0,0,1.2,6
90,1,1,2,1,15.4,0,0,0,1.2,6
90,1,1,2,2,3.3,0,0,0,0.1,0.5
90,1,2,1,1,15.4,0,0,0,1.2,6
90,1,2,1,2,3.3,0,0,0,0.1,0.5
90,1,2,2,1,15.4,0,0,0,1.2,6
90,1,3,1,1,15.4,0,0,0,1.2,6
90,1,3,1,2,3.3,0,0,0,0.1,0.5
90,1,3,2,1,15.4,0,0,0,1.2,6
90,1,4,1,1,6.6,0,0,0,0.4,2
90,1,4,2,1,6.6,0,0,0,0.4,2
90,2,1,1,1,6.6,0,0,0,0.4,2
90,2,1,2,1,6.6,0,0,0,0.4,2
90,2,1,2,2,3.3,0,0,0,0.1,0.5
